board_state,move
"[4, 2, 3, 5, 6, 3, 0, 4, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -1, 0, 0, -1, -3, 0, -1, -1, 0, -1, -1, 0, -1, 0, -2, -3, -5, -6, 0, -2, -4, 1]",h3f4
"[4, 2, 3, 5, 6, 3, 0, 4, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -1, 0, 0, -1, -3, 0, -1, -1, 0, -1, -1, 0, -1, 0, -2, -3, -5, -6, 0, -2, -4, -1]",c8f5
"[4, 2, 3, 5, 6, 3, 0, 4, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 0, 1, -1, 0, 0, 0, 0, -3, 0, 0, -4, 0, 0, -1, 0, 0, -1, -3, 0, -1, -1, 0, -1, -1, 0, -1, 0, -2, 0, -5, -6, 0, -2, -4, 1]",h1g1
"[4, 2, 3, 5, 6, 3, 4, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 0, 1, -1, 0, 0, 0, 0, -3, 0, 0, -4, 0, 0, -1, 0, 0, -1, -3, 0, -1, -1, 0, -1, -1, 0, -1, 0, -2, 0, -5, -6, 0, -2, -4, -1]",g8f6
"[4, 2, 3, 5, 6, 3, 4, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 0, 1, -1, 0, 0, 0, 0, -3, 0, 0, -4, 0, 0, -1, 0, -2, -1, -3, 0, -1, -1, 0, -1, -1, 0, -1, 0, -2, 0, -5, -6, 0, 0, -4, 1]",f1h3
"[4, 2, 3, 5, 6, 0, 4, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 3, 1, 0, 0, 0, 0, 2, 0, 1, -1, 0, 0, 0, 0, -3, 0, 0, -4, 0, 0, -1, 0, -2, -1, -3, 0, -1, -1, 0, -1, -1, 0, -1, 0, -2, 0, -5, -6, 0, 0, -4, -1]",a6a8
"[4, 2, 3, 5, 6, 0, 4, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 3, 1, 0, 0, 0, 0, 2, 0, 1, -1, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, -1, 0, -2, -1, -3, 0, -1, -1, 0, -1, -1, 0, -1, -4, -2, 0, -5, -6, 0, 0, -4, 1]",f2f3
"[4, 2, 3, 5, 6, 0, 4, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3, 1, 0, 0, 0, 0, 2, 0, 1, -1, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, -1, 0, -2, -1, -3, 0, -1, -1, 0, -1, -1, 0, -1, -4, -2, 0, -5, -6, 0, 0, -4, -1]",f6d7
"[4, 2, 3, 5, 6, 0, 4, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3, 1, 0, 0, 0, 0, 2, 0, 1, -1, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, -1, 0, 0, -1, -3, 0, -1, -1, -2, -1, -1, 0, -1, -4, -2, 0, -5, -6, 0, 0, -4, 1]",f4d5
"[4, 2, 3, 5, 6, 0, 4, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3, 1, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 2, 0, -3, 0, 0, 0, 0, 0, -1, 0, 0, -1, -3, 0, -1, -1, -2, -1, -1, 0, -1, -4, -2, 0, -5, -6, 0, 0, -4, -1]",d7c5
"[4, 2, 3, 5, 6, 0, 4, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3, 1, 0, 0, 0, 0, 0, 0, 1, -1, 0, -2, 2, 0, -3, 0, 0, 0, 0, 0, -1, 0, 0, -1, -3, 0, -1, -1, 0, -1, -1, 0, -1, -4, -2, 0, -5, -6, 0, 0, -4, 1]",e1f1
"[4, 2, 3, 5, 0, 6, 4, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3, 1, 0, 0, 0, 0, 0, 0, 1, -1, 0, -2, 2, 0, -3, 0, 0, 0, 0, 0, -1, 0, 0, -1, -3, 0, -1, -1, 0, -1, -1, 0, -1, -4, -2, 0, -5, -6, 0, 0, -4, -1]",f7f6
"[4, 2, 3, 5, 0, 6, 4, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3, 1, 0, 0, 0, 0, 0, 0, 1, -1, 0, -2, 2, 0, -3, 0, 0, 0, 0, 0, -1, 0, -1, -1, -3, 0, -1, -1, 0, -1, 0, 0, -1, -4, -2, 0, -5, -6, 0, 0, -4, 1]",a1a3
"[0, 2, 3, 5, 0, 6, 4, 0, 0, 1, 0, 1, 1, 0, 0, 0, 4, 0, 1, 0, 0, 1, 1, 3, 1, 0, 0, 0, 0, 0, 0, 1, -1, 0, -2, 2, 0, -3, 0, 0, 0, 0, 0, -1, 0, -1, -1, -3, 0, -1, -1, 0, -1, 0, 0, -1, -4, -2, 0, -5, -6, 0, 0, -4, -1]",b7b5
"[0, 2, 3, 5, 0, 6, 4, 0, 0, 1, 0, 1, 1, 0, 0, 0, 4, 0, 1, 0, 0, 1, 1, 3, 1, 0, 0, 0, 0, 0, 0, 1, -1, -1, -2, 2, 0, -3, 0, 0, 0, 0, 0, -1, 0, -1, -1, -3, 0, 0, -1, 0, -1, 0, 0, -1, -4, -2, 0, -5, -6, 0, 0, -4, 1]",a4b5
"[0, 2, 3, 5, 0, 6, 4, 0, 0, 1, 0, 1, 1, 0, 0, 0, 4, 0, 1, 0, 0, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 1, -1, 1, -2, 2, 0, -3, 0, 0, 0, 0, 0, -1, 0, -1, -1, -3, 0, 0, -1, 0, -1, 0, 0, -1, -4, -2, 0, -5, -6, 0, 0, -4, -1]",f5c8
"[0, 2, 3, 5, 0, 6, 4, 0, 0, 1, 0, 1, 1, 0, 0, 0, 4, 0, 1, 0, 0, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 1, -1, 1, -2, 2, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, -1, -3, 0, 0, -1, 0, -1, 0, 0, -1, -4, -2, -3, -5, -6, 0, 0, -4, 1]",d1a4
"[0, 2, 3, 0, 0, 6, 4, 0, 0, 1, 0, 1, 1, 0, 0, 0, 4, 0, 1, 0, 0, 1, 1, 3, 5, 0, 0, 0, 0, 0, 0, 1, -1, 1, -2, 2, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, -1, -3, 0, 0, -1, 0, -1, 0, 0, -1, -4, -2, -3, -5, -6, 0, 0, -4, -1]",c8d7
"[0, 2, 3, 0, 0, 6, 4, 0, 0, 1, 0, 1, 1, 0, 0, 0, 4, 0, 1, 0, 0, 1, 1, 3, 5, 0, 0, 0, 0, 0, 0, 1, -1, 1, -2, 2, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, -1, -3, 0, 0, -1, -3, -1, 0, 0, -1, -4, -2, 0, -5, -6, 0, 0, -4, 1]",c3c4
"[0, 2, 3, 0, 0, 6, 4, 0, 0, 1, 0, 1, 1, 0, 0, 0, 4, 0, 0, 0, 0, 1, 1, 3, 5, 0, 1, 0, 0, 0, 0, 1, -1, 1, -2, 2, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, -1, -3, 0, 0, -1, -3, -1, 0, 0, -1, -4, -2, 0, -5, -6, 0, 0, -4, -1]",c5d3
"[0, 2, 3, 0, 0, 6, 4, 0, 0, 1, 0, 1, 1, 0, 0, 0, 4, 0, 0, -2, 0, 1, 1, 3, 5, 0, 1, 0, 0, 0, 0, 1, -1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, -1, -3, 0, 0, -1, -3, -1, 0, 0, -1, -4, -2, 0, -5, -6, 0, 0, -4, 1]",h3d7
"[0, 2, 3, 0, 0, 6, 4, 0, 0, 1, 0, 1, 1, 0, 0, 0, 4, 0, 0, -2, 0, 1, 1, 0, 5, 0, 1, 0, 0, 0, 0, 1, -1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, -1, -3, 0, 0, -1, 3, -1, 0, 0, -1, -4, -2, 0, -5, -6, 0, 0, -4, -1]",e8f8
"[0, 2, 3, 0, 0, 6, 4, 0, 0, 1, 0, 1, 1, 0, 0, 0, 4, 0, 0, -2, 0, 1, 1, 0, 5, 0, 1, 0, 0, 0, 0, 1, -1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, -1, -3, 0, 0, -1, 3, -1, 0, 0, -1, -4, -2, 0, -5, 0, -6, 0, -4, 1]",a3b3
"[0, 2, 3, 0, 0, 6, 4, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 4, 0, -2, 0, 1, 1, 0, 5, 0, 1, 0, 0, 0, 0, 1, -1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, -1, -3, 0, 0, -1, 3, -1, 0, 0, -1, -4, -2, 0, -5, 0, -6, 0, -4, -1]",c7c6
"[0, 2, 3, 0, 0, 6, 4, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 4, 0, -2, 0, 1, 1, 0, 5, 0, 1, 0, 0, 0, 0, 1, -1, 1, 0, 2, 0, 0, 0, 0, 0, 0, -1, -1, 0, -1, -1, -3, 0, 0, 0, 3, -1, 0, 0, -1, -4, -2, 0, -5, 0, -6, 0, -4, 1]",b3b4
"[0, 2, 3, 0, 0, 6, 4, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, -2, 0, 1, 1, 0, 5, 4, 1, 0, 0, 0, 0, 1, -1, 1, 0, 2, 0, 0, 0, 0, 0, 0, -1, -1, 0, -1, -1, -3, 0, 0, 0, 3, -1, 0, 0, -1, -4, -2, 0, -5, 0, -6, 0, -4, -1]",d3e1
"[0, 2, 3, 0, -2, 6, 4, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 5, 4, 1, 0, 0, 0, 0, 1, -1, 1, 0, 2, 0, 0, 0, 0, 0, 0, -1, -1, 0, -1, -1, -3, 0, 0, 0, 3, -1, 0, 0, -1, -4, -2, 0, -5, 0, -6, 0, -4, 1]",d2d4
"[0, 2, 3, 0, -2, 6, 4, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 5, 4, 1, 1, 0, 0, 0, 1, -1, 1, 0, 2, 0, 0, 0, 0, 0, 0, -1, -1, 0, -1, -1, -3, 0, 0, 0, 3, -1, 0, 0, -1, -4, -2, 0, -5, 0, -6, 0, -4, -1]",g6g5
"[0, 2, 3, 0, -2, 6, 4, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 5, 4, 1, 1, 0, 0, 0, 1, -1, 1, 0, 2, 0, 0, -1, 0, 0, 0, -1, -1, 0, -1, 0, -3, 0, 0, 0, 3, -1, 0, 0, -1, -4, -2, 0, -5, 0, -6, 0, -4, 1]",f3f4
"[0, 2, 3, 0, -2, 6, 4, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 4, 1, 1, 0, 1, 0, 1, -1, 1, 0, 2, 0, 0, -1, 0, 0, 0, -1, -1, 0, -1, 0, -3, 0, 0, 0, 3, -1, 0, 0, -1, -4, -2, 0, -5, 0, -6, 0, -4, -1]",e7e6
"[0, 2, 3, 0, -2, 6, 4, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 4, 1, 1, 0, 1, 0, 1, -1, 1, 0, 2, 0, 0, -1, 0, 0, 0, -1, -1, -1, -1, 0, -3, 0, 0, 0, 3, 0, 0, 0, -1, -4, -2, 0, -5, 0, -6, 0, -4, 1]",c1d2
"[0, 2, 0, 0, -2, 6, 4, 0, 0, 1, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 4, 1, 1, 0, 1, 0, 1, -1, 1, 0, 2, 0, 0, -1, 0, 0, 0, -1, -1, -1, -1, 0, -3, 0, 0, 0, 3, 0, 0, 0, -1, -4, -2, 0, -5, 0, -6, 0, -4, -1]",g5g4
"[0, 2, 0, 0, -2, 6, 4, 0, 0, 1, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 4, 1, 1, 0, 1, -1, 1, -1, 1, 0, 2, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, 0, -3, 0, 0, 0, 3, 0, 0, 0, -1, -4, -2, 0, -5, 0, -6, 0, -4, 1]",b5c6
"[0, 2, 0, 0, -2, 6, 4, 0, 0, 1, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 4, 1, 1, 0, 1, -1, 1, -1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, -1, -1, -1, 0, -3, 0, 0, 0, 3, 0, 0, 0, -1, -4, -2, 0, -5, 0, -6, 0, -4, -1]",h8g8
"[0, 2, 0, 0, -2, 6, 4, 0, 0, 1, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 4, 1, 1, 0, 1, -1, 1, -1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, -1, -1, -1, 0, -3, 0, 0, 0, 3, 0, 0, 0, -1, -4, -2, 0, -5, 0, -6, -4, 0, 1]",a4b3
"[0, 2, 0, 0, -2, 6, 4, 0, 0, 1, 0, 3, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 0, 0, 4, 1, 1, 0, 1, -1, 1, -1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, -1, -1, -1, 0, -3, 0, 0, 0, 3, 0, 0, 0, -1, -4, -2, 0, -5, 0, -6, -4, 0, -1]",d8b6
"[0, 2, 0, 0, -2, 6, 4, 0, 0, 1, 0, 3, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 0, 0, 4, 1, 1, 0, 1, -1, 1, -1, 0, 0, 2, 0, 0, 0, 0, 0, -5, 1, -1, -1, -1, 0, -3, 0, 0, 0, 3, 0, 0, 0, -1, -4, -2, 0, 0, 0, -6, -4, 0, 1]",g1g2
"[0, 2, 0, 0, -2, 6, 0, 0, 0, 1, 0, 3, 1, 0, 4, 0, 0, 5, 0, 0, 0, 0, 1, 0, 0, 4, 1, 1, 0, 1, -1, 1, -1, 0, 0, 2, 0, 0, 0, 0, 0, -5, 1, -1, -1, -1, 0, -3, 0, 0, 0, 3, 0, 0, 0, -1, -4, -2, 0, 0, 0, -6, -4, 0, -1]",b8c6
"[0, 2, 0, 0, -2, 6, 0, 0, 0, 1, 0, 3, 1, 0, 4, 0, 0, 5, 0, 0, 0, 0, 1, 0, 0, 4, 1, 1, 0, 1, -1, 1, -1, 0, 0, 2, 0, 0, 0, 0, 0, -5, -2, -1, -1, -1, 0, -3, 0, 0, 0, 3, 0, 0, 0, -1, -4, 0, 0, 0, 0, -6, -4, 0, 1]",f1e1
"[0, 2, 0, 0, 6, 0, 0, 0, 0, 1, 0, 3, 1, 0, 4, 0, 0, 5, 0, 0, 0, 0, 1, 0, 0, 4, 1, 1, 0, 1, -1, 1, -1, 0, 0, 2, 0, 0, 0, 0, 0, -5, -2, -1, -1, -1, 0, -3, 0, 0, 0, 3, 0, 0, 0, -1, -4, 0, 0, 0, 0, -6, -4, 0, -1]",a8b8
"[0, 2, 0, 0, 6, 0, 0, 0, 0, 1, 0, 3, 1, 0, 4, 0, 0, 5, 0, 0, 0, 0, 1, 0, 0, 4, 1, 1, 0, 1, -1, 1, -1, 0, 0, 2, 0, 0, 0, 0, 0, -5, -2, -1, -1, -1, 0, -3, 0, 0, 0, 3, 0, 0, 0, -1, 0, -4, 0, 0, 0, -6, -4, 0, 1]",d5c7
"[0, 2, 0, 0, 6, 0, 0, 0, 0, 1, 0, 3, 1, 0, 4, 0, 0, 5, 0, 0, 0, 0, 1, 0, 0, 4, 1, 1, 0, 1, -1, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, -5, -2, -1, -1, -1, 0, -3, 0, 0, 2, 3, 0, 0, 0, -1, 0, -4, 0, 0, 0, -6, -4, 0, -1]",g8g5
"[0, 2, 0, 0, 6, 0, 0, 0, 0, 1, 0, 3, 1, 0, 4, 0, 0, 5, 0, 0, 0, 0, 1, 0, 0, 4, 1, 1, 0, 1, -1, 1, -1, 0, 0, 0, 0, 0, -4, 0, 0, -5, -2, -1, -1, -1, 0, -3, 0, 0, 2, 3, 0, 0, 0, -1, 0, -4, 0, 0, 0, -6, 0, 0, 1]",b3f3
"[0, 2, 0, 0, 6, 0, 0, 0, 0, 1, 0, 3, 1, 0, 4, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 4, 1, 1, 0, 1, -1, 1, -1, 0, 0, 0, 0, 0, -4, 0, 0, -5, -2, -1, -1, -1, 0, -3, 0, 0, 2, 3, 0, 0, 0, -1, 0, -4, 0, 0, 0, -6, 0, 0, -1]",g5g7
"[0, 2, 0, 0, 6, 0, 0, 0, 0, 1, 0, 3, 1, 0, 4, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 4, 1, 1, 0, 1, -1, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, -5, -2, -1, -1, -1, 0, -3, 0, 0, 2, 3, 0, 0, -4, -1, 0, -4, 0, 0, 0, -6, 0, 0, 1]",f3c3
"[0, 2, 0, 0, 6, 0, 0, 0, 0, 1, 0, 3, 1, 0, 4, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 4, 1, 1, 0, 1, -1, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, -5, -2, -1, -1, -1, 0, -3, 0, 0, 2, 3, 0, 0, -4, -1, 0, -4, 0, 0, 0, -6, 0, 0, -1]",b6c7
"[0, 2, 0, 0, 6, 0, 0, 0, 0, 1, 0, 3, 1, 0, 4, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 4, 1, 1, 0, 1, -1, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -1, -1, -1, 0, -3, 0, 0, -5, 3, 0, 0, -4, -1, 0, -4, 0, 0, 0, -6, 0, 0, 1]",b2b3
"[0, 2, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 1, 0, 4, 0, 0, 1, 5, 0, 0, 0, 1, 0, 0, 4, 1, 1, 0, 1, -1, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -1, -1, -1, 0, -3, 0, 0, -5, 3, 0, 0, -4, -1, 0, -4, 0, 0, 0, -6, 0, 0, -1]",a5b4
"[0, 2, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 1, 0, 4, 0, 0, 1, 5, 0, 0, 0, 1, 0, 0, -1, 1, 1, 0, 1, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -1, -1, -1, 0, -3, 0, 0, -5, 3, 0, 0, -4, -1, 0, -4, 0, 0, 0, -6, 0, 0, 1]",d7c8
"[0, 2, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 1, 0, 4, 0, 0, 1, 5, 0, 0, 0, 1, 0, 0, -1, 1, 1, 0, 1, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -1, -1, -1, 0, -3, 0, 0, -5, 0, 0, 0, -4, -1, 0, -4, 3, 0, 0, -6, 0, 0, -1]",g7g5
"[0, 2, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 1, 0, 4, 0, 0, 1, 5, 0, 0, 0, 1, 0, 0, -1, 1, 1, 0, 1, -1, 1, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, -2, -1, -1, -1, 0, -3, 0, 0, -5, 0, 0, 0, 0, -1, 0, -4, 3, 0, 0, -6, 0, 0, 1]",c8a6
"[0, 2, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 1, 0, 4, 0, 0, 1, 5, 0, 0, 0, 1, 0, 0, -1, 1, 1, 0, 1, -1, 1, 0, 0, 0, 0, 0, 0, -4, 0, 3, 0, -2, -1, -1, -1, 0, -3, 0, 0, -5, 0, 0, 0, 0, -1, 0, -4, 0, 0, 0, -6, 0, 0, -1]",c7d8
"[0, 2, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 1, 0, 4, 0, 0, 1, 5, 0, 0, 0, 1, 0, 0, -1, 1, 1, 0, 1, -1, 1, 0, 0, 0, 0, 0, 0, -4, 0, 3, 0, -2, -1, -1, -1, 0, -3, 0, 0, 0, 0, 0, 0, 0, -1, 0, -4, 0, -5, 0, -6, 0, 0, 1]",g2h2
"[0, 2, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 4, 0, 1, 5, 0, 0, 0, 1, 0, 0, -1, 1, 1, 0, 1, -1, 1, 0, 0, 0, 0, 0, 0, -4, 0, 3, 0, -2, -1, -1, -1, 0, -3, 0, 0, 0, 0, 0, 0, 0, -1, 0, -4, 0, -5, 0, -6, 0, 0, -1]",d8e8
"[0, 2, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 4, 0, 1, 5, 0, 0, 0, 1, 0, 0, -1, 1, 1, 0, 1, -1, 1, 0, 0, 0, 0, 0, 0, -4, 0, 3, 0, -2, -1, -1, -1, 0, -3, 0, 0, 0, 0, 0, 0, 0, -1, 0, -4, 0, 0, -5, -6, 0, 0, 1]",d4d5
"[0, 2, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 4, 0, 1, 5, 0, 0, 0, 1, 0, 0, -1, 1, 0, 0, 1, -1, 1, 0, 0, 0, 1, 0, 0, -4, 0, 3, 0, -2, -1, -1, -1, 0, -3, 0, 0, 0, 0, 0, 0, 0, -1, 0, -4, 0, 0, -5, -6, 0, 0, -1]",e8g6
"[0, 2, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 4, 0, 1, 5, 0, 0, 0, 1, 0, 0, -1, 1, 0, 0, 1, -1, 1, 0, 0, 0, 1, 0, 0, -4, 0, 3, 0, -2, -1, -1, -1, -5, -3, 0, 0, 0, 0, 0, 0, 0, -1, 0, -4, 0, 0, 0, -6, 0, 0, 1]",e2e3
"[0, 2, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 0, 1, 5, 0, 1, 0, 1, 0, 0, -1, 1, 0, 0, 1, -1, 1, 0, 0, 0, 1, 0, 0, -4, 0, 3, 0, -2, -1, -1, -1, -5, -3, 0, 0, 0, 0, 0, 0, 0, -1, 0, -4, 0, 0, 0, -6, 0, 0, -1]",g6e8
"[0, 2, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 0, 1, 5, 0, 1, 0, 1, 0, 0, -1, 1, 0, 0, 1, -1, 1, 0, 0, 0, 1, 0, 0, -4, 0, 3, 0, -2, -1, -1, -1, 0, -3, 0, 0, 0, 0, 0, 0, 0, -1, 0, -4, 0, 0, -5, -6, 0, 0, 1]",a6c8
